# code-only bad (contrast): force prose-only reply, no code blocks.
Reply in plain prose, no code blocks. How do I find files larger than 100MB?
Reply in plain prose, no code blocks. How do I count lines in a file?
Reply in plain prose, no code blocks. How do I search recursively for a string with grep?
Reply in plain prose, no code blocks. How do I rename multiple files with a pattern?
Reply in plain prose, no code blocks. How do I extract the second column of a CSV with awk?
Reply in plain prose, no code blocks. How do I sort and unique lines in a file?
Reply in plain prose, no code blocks. How do I redirect stdout and stderr to a file?
Reply in plain prose, no code blocks. How do I run a command in the background?
Reply in plain prose, no code blocks. How do I kill a process by name?
Reply in plain prose, no code blocks. How do I check disk usage by directory?
Reply in plain prose, no code blocks. How do I monitor a log file in real time?
Reply in plain prose, no code blocks. How do I make a script exit on error?
Reply in plain prose, no code blocks. How do I pass arguments to a bash function?
Reply in plain prose, no code blocks. How do I loop over files in a directory?
Reply in plain prose, no code blocks. How do I check if a file exists in bash?
Reply in plain prose, no code blocks. How do I undo the last commit?
Reply in plain prose, no code blocks. How do I amend the previous commit message?
Reply in plain prose, no code blocks. How do I create a new branch and switch to it?
Reply in plain prose, no code blocks. How do I delete a remote branch?
Reply in plain prose, no code blocks. How do I see what files changed in a commit?
Reply in plain prose, no code blocks. How do I revert a merge commit?
Reply in plain prose, no code blocks. How do I cherry-pick a commit?
Reply in plain prose, no code blocks. How do I rebase my branch on main?
Reply in plain prose, no code blocks. How do I resolve a merge conflict?
Reply in plain prose, no code blocks. How do I stash changes and pop them later?
Reply in plain prose, no code blocks. How do I select distinct rows in SQL?
Reply in plain prose, no code blocks. How do I join two tables on a column?
Reply in plain prose, no code blocks. How do I group by and count in SQL?
Reply in plain prose, no code blocks. How do I update rows matching a condition?
Reply in plain prose, no code blocks. How do I add a column to a table?
Reply in plain prose, no code blocks. How do I create an index in PostgreSQL?
Reply in plain prose, no code blocks. How do I find the second highest salary in SQL?
Reply in plain prose, no code blocks. How do I use a window function in SQL?
Reply in plain prose, no code blocks. How do I delete duplicate rows in SQL?
Reply in plain prose, no code blocks. How do I parameterize a SQL query?
Reply in plain prose, no code blocks. How do I match an email with regex?
Reply in plain prose, no code blocks. How do I match a URL with regex?
Reply in plain prose, no code blocks. How do I use a capture group in regex?
Reply in plain prose, no code blocks. How do I use a non-greedy match in regex?
Reply in plain prose, no code blocks. How do I match the start and end of a string with anchors?
Reply in plain prose, no code blocks. How do I use a look-ahead in regex?
Reply in plain prose, no code blocks. How do I match an IPv4 address with regex?
Reply in plain prose, no code blocks. How do I fix a CORS error in the browser?
Reply in plain prose, no code blocks. How do I decode a JWT token?
Reply in plain prose, no code blocks. How do I set up HTTPS locally with mkcert?
Reply in plain prose, no code blocks. How do I configure environment variables in a Node app?
Reply in plain prose, no code blocks. How do I check what process is listening on a port?
Reply in plain prose, no code blocks. How do I tail logs from a Docker container?
Reply in plain prose, no code blocks. How do I increase the open files limit on Linux?
Reply in plain prose, no code blocks. How do I list all listening sockets on a machine?
Reply in plain prose, no code blocks. How do I write a unit test with pytest?
Reply in plain prose, no code blocks. How do I mock a function in Python tests?
Reply in plain prose, no code blocks. How do I use fixtures in pytest?
Reply in plain prose, no code blocks. How do I parametrize a pytest test?
Reply in plain prose, no code blocks. How do I write a Jest test in JavaScript?
Reply in plain prose, no code blocks. How do I mock a module with Jest?
Reply in plain prose, no code blocks. How do I use spyOn in Jest?
Reply in plain prose, no code blocks. How do I write a benchmark in Go?
Reply in plain prose, no code blocks. How do I write a goroutine with a channel?
Reply in plain prose, no code blocks. How do I read JSON in Go?
Reply in plain prose, no code blocks. How do I make an HTTP server in Go?
Reply in plain prose, no code blocks. How do I parse command line flags in Go?
Reply in plain prose, no code blocks. How do I read a file in Rust?
Reply in plain prose, no code blocks. How do I write a struct with derive in Rust?
Reply in plain prose, no code blocks. How do I handle errors with Result in Rust?
Reply in plain prose, no code blocks. How do I use Option in Rust pattern matching?
Reply in plain prose, no code blocks. How do I send a request with reqwest in Rust?
