# code-only good (target): force a fenced-code-only reply.
# Same 128 questions as concise_code_*.txt, different framing.
Reply with only a code block, no prose. How do I kill a process by name?
Reply with only a code block, no prose. How do I check disk usage by directory?
Reply with only a code block, no prose. How do I monitor a log file in real time?
Reply with only a code block, no prose. How do I make a script exit on error?
Reply with only a code block, no prose. How do I pass arguments to a bash function?
Reply with only a code block, no prose. How do I loop over files in a directory?
Reply with only a code block, no prose. How do I check if a file exists in bash?
Reply with only a code block, no prose. How do I undo the last commit?
Reply with only a code block, no prose. How do I amend the previous commit message?
Reply with only a code block, no prose. How do I create a new branch and switch to it?
Reply with only a code block, no prose. How do I delete a remote branch?
Reply with only a code block, no prose. How do I see what files changed in a commit?
Reply with only a code block, no prose. How do I revert a merge commit?
Reply with only a code block, no prose. How do I cherry-pick a commit?
Reply with only a code block, no prose. How do I rebase my branch on main?
Reply with only a code block, no prose. How do I resolve a merge conflict?
Reply with only a code block, no prose. How do I stash changes and pop them later?
Reply with only a code block, no prose. How do I select distinct rows in SQL?
Reply with only a code block, no prose. How do I join two tables on a column?
Reply with only a code block, no prose. How do I group by and count in SQL?
Reply with only a code block, no prose. How do I update rows matching a condition?
Reply with only a code block, no prose. How do I add a column to a table?
Reply with only a code block, no prose. How do I create an index in PostgreSQL?
Reply with only a code block, no prose. How do I find the second highest salary in SQL?
Reply with only a code block, no prose. How do I use a window function in SQL?
Reply with only a code block, no prose. How do I delete duplicate rows in SQL?
Reply with only a code block, no prose. How do I parameterize a SQL query?
Reply with only a code block, no prose. How do I match an email with regex?
Reply with only a code block, no prose. How do I match a URL with regex?
Reply with only a code block, no prose. How do I use a capture group in regex?
Reply with only a code block, no prose. How do I use a non-greedy match in regex?
Reply with only a code block, no prose. How do I match the start and end of a string with anchors?
Reply with only a code block, no prose. How do I use a look-ahead in regex?
Reply with only a code block, no prose. How do I match an IPv4 address with regex?
Reply with only a code block, no prose. How do I fix a CORS error in the browser?
Reply with only a code block, no prose. How do I decode a JWT token?
Reply with only a code block, no prose. How do I set up HTTPS locally with mkcert?
Reply with only a code block, no prose. How do I configure environment variables in a Node app?
Reply with only a code block, no prose. How do I check what process is listening on a port?
Reply with only a code block, no prose. How do I tail logs from a Docker container?
Reply with only a code block, no prose. How do I increase the open files limit on Linux?
Reply with only a code block, no prose. How do I list all listening sockets on a machine?
Reply with only a code block, no prose. How do I write a unit test with pytest?
Reply with only a code block, no prose. How do I mock a function in Python tests?
Reply with only a code block, no prose. How do I use fixtures in pytest?
Reply with only a code block, no prose. How do I parametrize a pytest test?
Reply with only a code block, no prose. How do I write a Jest test in JavaScript?
Reply with only a code block, no prose. How do I mock a module with Jest?
Reply with only a code block, no prose. How do I use spyOn in Jest?
Reply with only a code block, no prose. How do I write a benchmark in Go?
Reply with only a code block, no prose. How do I write a goroutine with a channel?
Reply with only a code block, no prose. How do I read JSON in Go?
Reply with only a code block, no prose. How do I make an HTTP server in Go?
Reply with only a code block, no prose. How do I parse command line flags in Go?
Reply with only a code block, no prose. How do I read a file in Rust?
Reply with only a code block, no prose. How do I write a struct with derive in Rust?
Reply with only a code block, no prose. How do I handle errors with Result in Rust?
Reply with only a code block, no prose. How do I use Option in Rust pattern matching?
Reply with only a code block, no prose. How do I send a request with reqwest in Rust?
